iter	Passed	Remaining
0	0	645
1	1	553
2	1	534
3	2	533
4	2	510
5	3	502
6	3	503
7	3	493
8	4	494
9	5	497
10	5	496
11	6	495
12	6	494
13	6	490
14	7	478
15	7	474
16	8	468
17	8	465
18	8	460
19	9	453
20	9	451
21	10	448
22	10	444
23	10	440
24	11	438
25	11	433
26	11	430
27	12	428
28	12	426
29	13	425
30	13	423
31	14	425
32	14	421
33	14	417
34	15	417
35	15	415
36	15	415
37	16	414
38	16	415
39	17	416
40	17	415
41	18	415
42	18	414
43	19	416
44	19	415
45	20	415
46	20	415
47	20	415
48	21	414
49	21	413
50	22	413
51	22	413
52	23	414
53	23	414
54	24	414
55	24	415
56	25	415
57	25	415
58	26	415
59	26	415
60	26	415
61	27	415
62	27	415
63	28	414
64	28	414
65	29	413
66	29	412
67	30	411
68	30	409
69	30	408
70	31	405
71	31	404
72	31	404
73	32	403
74	32	402
75	33	402
76	33	401
77	33	400
78	34	399
79	34	397
80	35	397
81	35	396
82	35	396
83	36	395
84	36	394
85	37	393
86	37	392
87	37	391
88	38	391
89	38	390
90	38	389
91	39	388
92	39	387
93	40	386
94	40	386
95	40	385
96	41	385
97	41	384
98	42	383
99	42	383
100	43	383
101	43	382
102	43	381
103	44	380
104	44	380
105	45	380
106	45	379
107	45	379
108	46	378
109	46	378
110	47	378
111	47	377
112	48	376
113	48	376
114	48	375
115	49	374
116	49	374
117	50	374
118	50	374
119	50	373
120	51	373
121	51	373
122	52	372
123	52	372
124	53	371
125	53	371
126	53	370
127	54	370
128	54	370
129	55	369
130	55	369
131	56	369
132	56	368
133	56	368
134	57	367
135	57	368
136	58	367
137	58	367
138	59	366
139	59	366
140	60	365
141	60	365
142	60	365
143	61	364
144	61	363
145	62	363
146	62	362
147	62	362
148	63	361
149	63	360
150	64	360
151	64	359
152	64	359
153	65	358
154	65	358
155	66	357
156	66	356
157	66	355
158	67	355
159	67	354
160	68	354
161	68	353
162	68	353
163	69	352
164	69	352
165	70	352
166	70	351
167	71	351
168	71	351
169	71	350
170	72	350
171	72	349
172	73	349
173	73	348
174	73	348
175	74	347
176	74	347
177	75	346
178	75	346
179	75	345
180	76	345
181	76	345
182	77	345
183	77	344
184	78	344
185	78	343
186	78	343
187	79	342
188	79	342
189	80	341
190	80	341
191	80	340
192	81	339
193	81	339
194	82	338
195	82	338
196	82	337
197	83	337
198	83	336
199	83	335
200	84	335
201	84	334
202	85	334
203	85	334
204	85	333
205	86	333
206	86	333
207	87	334
208	88	334
209	88	333
210	89	333
211	89	332
212	89	331
213	90	331
214	90	330
215	91	330
216	91	329
217	91	329
218	92	328
219	92	327
220	92	327
221	93	326
222	93	326
223	94	325
224	94	326
225	95	325
226	95	325
227	96	325
228	96	325
229	96	324
230	97	324
231	97	323
232	98	323
233	98	322
234	98	321
235	99	321
236	99	320
237	100	320
238	100	319
239	100	319
240	101	318
241	101	318
242	102	318
243	102	317
244	102	317
245	103	316
246	104	317
247	104	316
248	104	315
249	105	315
250	105	314
251	105	314
252	106	313
253	106	313
254	107	313
255	107	312
256	107	312
257	108	311
258	108	311
259	109	310
260	109	309
261	109	309
262	110	309
263	110	308
264	111	308
265	111	307
266	111	307
267	112	306
268	112	306
269	113	305
270	113	305
271	114	305
272	114	305
273	115	304
274	115	304
275	115	303
276	116	303
277	116	303
278	117	302
279	117	302
280	117	301
281	118	301
282	118	300
283	118	300
284	119	299
285	119	299
286	120	298
287	120	298
288	121	297
289	121	297
290	121	296
291	122	296
292	122	295
293	123	296
294	123	295
295	124	295
296	124	294
297	124	294
298	125	293
299	125	293
300	126	292
301	126	292
302	126	291
303	127	291
304	127	290
305	128	290
306	128	289
307	128	289
308	129	288
309	129	288
310	129	287
311	130	287
312	130	286
313	131	286
314	131	286
315	132	286
316	132	285
317	133	285
318	133	285
319	133	284
320	134	284
321	134	283
322	135	283
323	135	282
324	135	282
325	136	281
326	136	281
327	136	280
328	137	280
329	137	279
330	138	279
331	138	278
332	138	278
333	139	277
334	139	277
335	140	277
336	140	276
337	140	276
338	141	275
339	141	275
340	142	274
341	142	274
342	143	274
343	143	274
344	144	273
345	144	273
346	144	272
347	145	272
348	145	271
349	146	271
350	146	271
351	146	270
352	147	270
353	147	269
354	148	269
355	148	268
356	149	268
357	149	267
358	149	267
359	150	267
360	150	266
361	151	266
362	151	265
363	151	265
364	152	265
365	152	264
366	153	264
367	153	263
368	153	263
369	154	262
370	154	262
371	155	262
372	155	261
373	155	261
374	156	260
375	156	260
376	157	259
377	157	259
378	157	258
379	158	258
380	158	257
381	159	257
382	159	256
383	159	256
384	160	256
385	160	255
386	161	255
387	161	254
388	162	254
389	162	254
390	163	253
391	163	253
392	163	253
393	164	252
394	164	252
395	165	251
396	165	251
397	165	250
398	166	250
399	166	249
400	166	249
401	167	248
402	167	248
403	168	248
404	168	247
405	168	247
406	169	246
407	169	246
408	170	245
409	170	245
410	171	245
411	171	245
412	172	244
413	172	244
414	173	243
415	173	243
416	173	243
417	174	242
418	174	242
419	175	241
420	175	241
421	175	240
422	176	240
423	176	240
424	177	239
425	177	239
426	177	238
427	178	238
428	178	237
429	179	237
430	179	237
431	180	236
432	180	236
433	180	235
434	181	235
435	181	235
436	182	234
437	182	234
438	182	233
439	183	233
440	183	232
441	184	232
442	184	231
443	184	231
444	185	231
445	185	230
446	186	230
447	186	229
448	186	229
449	187	229
450	187	228
451	188	228
452	188	227
453	189	227
454	189	226
455	189	226
456	190	226
457	190	225
458	191	225
459	191	224
460	191	224
461	192	224
462	192	223
463	193	223
464	193	222
465	193	222
466	194	221
467	194	221
468	195	220
469	195	220
470	195	220
471	196	219
472	196	219
473	197	218
474	197	218
475	198	217
476	198	217
477	198	217
478	199	216
479	199	216
480	200	215
481	200	215
482	200	214
483	201	214
484	201	214
485	201	213
486	202	213
487	202	212
488	203	212
489	203	212
490	204	211
491	204	211
492	204	210
493	205	210
494	205	209
495	206	209
496	206	209
497	207	208
498	207	208
499	207	207
500	208	207
501	208	206
502	208	206
503	209	206
504	209	205
505	210	205
506	210	204
507	210	204
508	211	203
509	211	203
510	212	203
511	212	202
512	213	202
513	213	201
514	213	201
515	214	200
516	214	200
517	214	199
518	215	199
519	215	199
520	216	198
521	216	198
522	216	197
523	217	197
524	218	197
525	218	196
526	218	196
527	219	196
528	219	195
529	220	195
530	220	194
531	221	194
532	221	194
533	221	193
534	222	193
535	222	192
536	223	192
537	223	191
538	223	191
539	224	191
540	224	190
541	225	190
542	225	189
543	226	189
544	226	189
545	226	188
546	227	188
547	227	187
548	227	187
549	228	186
550	228	186
551	229	185
552	229	185
553	229	185
554	230	184
555	230	184
556	231	184
557	231	183
558	233	183
559	234	183
560	235	184
561	236	184
562	237	184
563	237	183
564	238	183
565	238	182
566	238	182
567	239	182
568	239	181
569	240	181
570	240	180
571	241	180
572	241	179
573	241	179
574	242	179
575	242	178
576	243	178
577	243	177
578	244	177
579	244	177
580	245	176
581	245	176
582	246	176
583	247	175
584	247	175
585	248	175
586	248	175
587	249	174
588	249	174
589	250	173
590	250	173
591	250	172
592	251	172
593	251	172
594	252	171
595	252	171
596	252	170
597	253	170
598	253	169
599	254	169
600	254	168
601	254	168
602	255	167
603	255	167
604	255	167
605	256	166
606	256	166
607	257	165
608	257	165
609	257	164
610	258	164
611	259	164
612	259	163
613	259	163
614	260	162
615	260	162
616	260	161
617	261	161
618	261	161
619	262	160
620	262	160
621	262	159
622	263	159
623	263	158
624	264	158
625	264	158
626	265	157
627	265	157
628	265	156
629	266	156
630	266	155
631	267	155
632	267	155
633	267	154
634	268	154
635	268	153
636	269	153
637	269	152
638	269	152
639	270	152
640	270	151
641	270	151
642	271	150
643	271	150
644	272	149
645	272	149
646	273	148
647	273	148
648	273	148
649	274	147
650	274	147
651	275	146
652	275	146
653	275	145
654	276	145
655	276	145
656	277	144
657	277	144
658	278	143
659	278	143
660	278	142
661	279	142
662	279	142
663	279	141
664	280	141
665	280	140
666	281	140
667	281	139
668	281	139
669	282	138
670	282	138
671	283	138
672	283	137
673	283	137
674	284	136
675	284	136
676	284	135
677	285	135
678	285	135
679	286	134
680	286	134
681	286	133
682	287	133
683	287	132
684	288	132
685	288	132
686	289	131
687	289	131
688	289	130
689	290	130
690	290	130
691	291	129
692	291	129
693	292	128
694	292	128
695	292	127
696	293	127
697	293	127
698	294	126
699	294	126
700	294	125
701	295	125
702	295	124
703	295	124
704	296	124
705	296	123
706	297	123
707	297	122
708	297	122
709	298	121
710	298	121
711	299	121
712	299	120
713	299	120
714	300	119
715	300	119
716	301	118
717	301	118
718	301	117
719	302	117
720	302	117
721	302	116
722	303	116
723	303	115
724	304	115
725	304	114
726	305	114
727	305	114
728	306	113
729	306	113
730	306	112
731	307	112
732	307	112
733	308	111
734	308	111
735	308	110
736	309	110
737	309	109
738	310	109
739	310	109
740	310	108
741	311	108
742	311	107
743	312	107
744	312	107
745	313	106
746	313	106
747	313	105
748	314	105
749	314	104
750	315	104
751	315	104
752	315	103
753	316	103
754	316	102
755	317	102
756	317	101
757	317	101
758	318	101
759	318	100
760	319	100
761	319	99
762	319	99
763	320	98
764	320	98
765	321	98
766	321	97
767	321	97
768	322	96
769	322	96
770	322	95
771	323	95
772	323	95
773	324	94
774	324	94
775	325	93
776	325	93
777	325	92
778	326	92
779	326	92
780	327	91
781	327	91
782	328	90
783	328	90
784	328	90
785	329	89
786	329	89
787	330	88
788	330	88
789	330	87
790	331	87
791	331	87
792	332	86
793	332	86
794	332	85
795	333	85
796	333	85
797	334	84
798	334	84
799	335	83
800	335	83
801	335	82
802	336	82
803	336	82
804	337	81
805	337	81
806	337	80
807	338	80
808	338	79
809	339	79
810	339	79
811	339	78
812	340	78
813	340	77
814	341	77
815	341	77
816	341	76
817	342	76
818	342	75
819	343	75
820	343	74
821	343	74
822	344	74
823	344	73
824	345	73
825	345	72
826	346	72
827	346	71
828	346	71
829	347	71
830	347	70
831	348	70
832	348	69
833	348	69
834	349	69
835	349	68
836	350	68
837	350	67
838	350	67
839	351	66
840	351	66
841	352	66
842	352	65
843	353	65
844	353	64
845	353	64
846	354	64
847	354	63
848	355	63
849	355	62
850	355	62
851	356	61
852	356	61
853	357	61
854	357	60
855	357	60
856	358	59
857	358	59
858	359	58
859	359	58
860	359	58
861	360	57
862	360	57
863	361	56
864	361	56
865	362	56
866	362	55
867	362	55
868	363	54
869	363	54
870	364	53
871	364	53
872	364	53
873	365	52
874	365	52
875	366	51
876	366	51
877	366	50
878	367	50
879	367	50
880	368	49
881	368	49
882	368	48
883	369	48
884	369	48
885	370	47
886	370	47
887	370	46
888	371	46
889	371	45
890	372	45
891	372	45
892	373	44
893	373	44
894	373	43
895	374	43
896	374	43
897	374	42
898	375	42
899	375	41
900	376	41
901	376	40
902	377	40
903	377	40
904	377	39
905	378	39
906	378	38
907	379	38
908	379	37
909	379	37
910	380	37
911	380	36
912	381	36
913	381	35
914	381	35
915	382	35
916	382	34
917	383	34
918	383	33
919	384	33
920	384	32
921	384	32
922	385	32
923	385	31
924	386	31
925	386	30
926	386	30
927	387	30
928	387	29
929	388	29
930	388	28
931	388	28
932	389	27
933	389	27
934	390	27
935	390	26
936	391	26
937	391	25
938	391	25
939	392	25
940	392	24
941	393	24
942	393	23
943	393	23
944	394	22
945	394	22
946	395	22
947	395	21
948	395	21
949	396	20
950	396	20
951	397	20
952	397	19
953	397	19
954	398	18
955	398	18
956	398	17
957	399	17
958	399	17
959	400	16
960	400	16
961	401	15
962	401	15
963	401	15
964	402	14
965	402	14
966	403	13
967	403	13
968	403	12
969	404	12
970	404	12
971	405	11
972	405	11
973	405	10
974	406	10
975	406	10
976	407	9
977	407	9
978	407	8
979	408	8
980	408	7
981	409	7
982	409	7
983	410	6
984	410	6
985	411	5
986	411	5
987	411	5
988	412	4
989	412	4
990	413	3
991	413	3
992	413	2
993	414	2
994	414	2
995	415	1
996	415	1
997	415	0
998	416	0
999	416	0
